"state","location","any.both_sexes_2002","any.females_2002","any.males_2002","any.both_sexes_2003","any.females_2003","any.males_2003","any.both_sexes_2004","any.females_2004","any.males_2004","any.both_sexes_2005","any.females_2005","any.males_2005","any.both_sexes_2006","any.females_2006","any.males_2006","any.both_sexes_2007","any.females_2007","any.males_2007","any.both_sexes_2008","any.females_2008","any.males_2008","any.both_sexes_2009","any.females_2009","any.males_2009","any.both_sexes_2010","any.females_2010","any.males_2010","any.both_sexes_2011","any.females_2011","any.males_2011","any.both_sexes_2012","any.females_2012","any.males_2012"
"Hawaii","Hawaii",49.8,38.8,61.2,51.5,41.3,62,51,40.8,61.5,52.2,42.5,62.3,51.8,42.6,61.3,52.4,42.9,62.2,51.5,42.1,61.2,52,42.7,61.6,52.9,43.9,62.2,53.5,44.8,62.6,53.3,43.9,63
"Hawaii","Hawaii County",54,44.9,63.5,56.1,47.8,64.6,55.6,47.3,64.2,56,48.2,64.1,55.2,48.3,62.4,55.9,48.9,63.3,55.3,48.2,62.6,55.7,48.6,63,55.5,48.9,62.3,55.8,49.7,62.2,55.7,49.2,62.5
"Hawaii","Honolulu County",48.3,36.7,60.2,49.8,39.2,60.9,49.3,38.6,60.4,50.7,40.5,61.4,50.4,40.6,60.5,50.8,40.7,61.3,49.9,39.9,60.3,50.4,40.5,60.6,51.5,41.8,61.6,52.1,42.6,62,51.8,41.4,62.6
"Hawaii","Kalawao County, Maui County",53.3,44,63,55.1,46.5,64,54.6,45.7,63.8,56,47.4,65,55,46.8,63.5,56.7,48,65.7,55.4,46.7,64.4,55.8,46.9,64.9,56.7,48.4,65.4,57.6,49.5,66,57.8,49.7,66.2
"Hawaii","Kauai County",53.2,41.9,64.9,54.8,44.4,65.5,54,43.7,64.7,54,44.3,64,54.2,45.2,63.4,54.6,45.6,63.9,53.7,45,62.7,54.4,45.9,63.3,55.3,47.7,63.2,56,49,63.4,56,49.1,63.2
